Family,Similarity Score
yangheng_absa-model,0.16666666666666666
CAMeL-Lab_bert,0.3333333333333333
google_gemma,0.5333333333333333
meta-llama_CodeLlama,0.3333333333333333
smallcloudai_Refact,0.4
nateraw_bert,0.375
deepset_haystack,0.6666666666666666
NousResearch_subnet,0.38461538461538464
textattack_textattack,0.6
SamLowe_roberta,0.4
ivanlau_language-detection,0.6666666666666666
snunlp_KR-SBERT,0.2222222222222222
Efficient-Large-Model_VILA,0.3
eugenesiow_bart-paraphrase,0.2857142857142857
Gryphe_MythoMax,0.5714285714285714
KB_bert,0.5
google_flan,0.6666666666666666
ielab_TILDE,0.3333333333333333
dbmdz_bert,0.16666666666666666
Snowflake_snowflake,0.3076923076923077
ibm-granite_granite,0.4
basel_ATTACK-BERT,0.25
persiannlp_mt5,0.36363636363636365
indobenchmark_indobert,0.36363636363636365
transfo-xl_transfo,0.3333333333333333
prithivida_grammar,0.375
lordtt13_mobilebert,0.4166666666666667
Langboat_Mengzi3,0.6666666666666666
taide_TAIDE,0.375
EleutherAI_neox,0.4
Supabase_gte,0.2
google-bert_bert,0.5384615384615384
01-ai_YI,0.7142857142857143
apple_OpenELM,0.14285714285714285
microsoft_phi-1,0.38461538461538464
cointegrated_rubert,0.4
elastic_distilbert,0.4
emilyalsentzer_Bio_ClinicalBERT,0.7142857142857143
nickprock_sentence-bert,0.5
shhossain_opus-mt,0.2727272727272727
bigcode_gpt,0.4666666666666667
malteos_scincl,0.375
cambridgeltl_SapBERT,0.4
facebook_galactica,0.4
Babelscape_rebel,0.5714285714285714
allenai_OLMo,0.4666666666666667
shibing624_text2vec,0.7272727272727273
google_multilingual,0.35714285714285715
stabilityai_StableBeluga,0.8333333333333334
snunlp_KR-ELECTRA,0.5
defog_sql-eval,0.3333333333333333
jinmang2_kpfbert,0.6666666666666666
ai-forever_gpt,0.5
facebook_nllb,0.36363636363636365
openai-community_roberta,0.625
m-a-p_OpenCodeInterpreter,0.25
facebook_dpr,0.46153846153846156
snrspeaks_KeyPhraseTransformer,0.25
owkin_phikon,0.36363636363636365
llm-book_bert,0.5714285714285714
avsolatorio_GIST,0.375
MaziyarPanahi_WizardLM,0.4
distilbert_distilbert,0.8
facebook_dragon,1.0
starmpcc_Asclepius,0.3333333333333333
microsoft_Phi-3,0.4166666666666667
microsoft_infoxlm,0.13333333333333333
nielsr_transformer,0.4166666666666667
microsoft_unixcoder,0.36363636363636365
dwzhu_e5,0.3333333333333333
pdelobelle_robbert-v2,0.5384615384615384
DeepPavlov_rubert,0.4
microsoft_DialoGPT,0.6153846153846154
PrunaAI_MaziyarPanahi,0.15384615384615385
hatmimoha_arabic,0.7142857142857143
akdeniz27_bert,0.2857142857142857
setu4993_LaBSE,0.42857142857142855
bigcode_starcoder,0.5
facebook_mbart,0.3333333333333333
urchade_gliner-models,0.35714285714285715
cardiffnlp_tweeteval,0.45454545454545453
microsoft_codebert,0.7
google_tapas,0.4166666666666667
medicalai_ClinicalBERT,0.6666666666666666
EleutherAI_gpt,0.4
dslim_bert,0.6
KoichiYasuoka_bert,0.625
pszemraj_long-t5,0.45454545454545453
McGill-NLP_LLM2Vec,0.42857142857142855
TurkuNLP_bert,0.42857142857142855
yahma_llama,0.2222222222222222
THUDM_cogvlm2,0.4166666666666667
tuner007_pegasus_paraphrase,0.4
dandelin_vilt,0.2
microsoft_llmlingua,0.375
avichr_heBERT,0.5
DMetaSoul_Dmeta,0.2727272727272727
HuggingFaceFW_fineweb,0.4
Davlan_multilingual,0.4
HooshvareLab_parsbert,0.375
gradientai_Llama,0.4666666666666667
ai-forever_sbert,0.45454545454545453
cross-encoder_embedding,0.5384615384615384
Nexusflow_NexusRaven,0.0
csarron_mobilebert,0.375
facebook_xlm,0.5833333333333334
Babelscape_wikineural,0.4
MilaNLProc_feel-it,0.5
1-800-BAD-CODE_XLM-ROBERTA,0.3
jhgan_ko-model,0.6
prithivida_parrot,0.3
facebook_opt,0.5333333333333333
microsoft_BiomedNLP,0.3333333333333333
oliverguhr_fullstop,0.5714285714285714
HuggingFaceM4_idefics,0.3333333333333333
m3hrdadfi_typo-detector,0.3333333333333333
internlm_internlm2,0.5
lxyuan_distilbert,0.3333333333333333
allenai_allenai,0.4
facebook_wmt19,0.16666666666666666
LanguageBind_Video-LLaVA,0.16666666666666666
emrecan_bert,0.23076923076923078
Muennighoff_SGPT,0.45454545454545453
bayartsogt_albert,0.4
cahya_bert,0.5
snrspeaks_t5-summary,0.3
Qwen_CodeQwen,0.3076923076923077
SCUT-DLVCLab_lilt-roberta,0.75
unum-cloud_uform3,0.38461538461538464
llm-blender_PairRM,0.4
beomi_ko,0.6
blanchefort_rubert,0.16666666666666666
klue_bert,0.25
google_bigbird,0.42857142857142855
EleutherAI_llemma,0.5714285714285714
T-Systems-onsite_sentence-transformer,0.25
Qwen_Qwen1,0.5454545454545454
ku-nlp_deberta,0.3333333333333333
Qwen_Qwen2,0.5454545454545454
grammarly_coedit,0.5
shenzhi-wang_Llama3,0.5
mosaicml_mpt,0.6153846153846154
obi_deid_roberta,0.5
microsoft_deberta,0.3333333333333333
oliverguhr_german-sentiment,0.5
Vamsi_T5_Paraphrase,0.5454545454545454
cardiffnlp_tweetnlp,0.3333333333333333
benjamin_segment,0.26666666666666666
JackFram_llama,0.4
l3cube-pune_marathiNLP,0.5
NousResearch_Hermes-2,0.5714285714285714
af1tang_PERSONALGPT,0.36363636363636365
Falconsai_intent-classification,0.3333333333333333
openchat_openchat,0.5
Helsinki-NLP_romance,0.38461538461538464
bigscience_workshop,0.8666666666666667
neulab_codebert,0.36363636363636365
dmis-lab_biobert,0.45454545454545453
openai-community_openai,0.5
batterydata_batterybert,0.3
bvanaken_clinical-assertion,0.2857142857142857
openlm-research_open_llama,0.2857142857142857
google_canine,0.4166666666666667
neuralmind_bert,0.5
ehsanaghaei_SecureBERT,0.4
google_reformer,0.25
hfl_chinese-model,0.6
nomic-ai_nomic,0.2857142857142857
MBZUAI_LaMini,0.3
gsarti_biobert,0.5
uw-madison_mra-model,0.3333333333333333
deepseek-ai_deepseek,0.5
jinaai_jina,0.6
THUDM_cogvlm,0.375
BAAI_bge,0.6
upskyy_kf-deberta,0.2
wukevin_tcr-bert,0.36363636363636365
microsoft_BiomedVLP,0.3333333333333333
GroNLP_gpt,0.4
edumunozsala_roberta,0.4
nomic-ai_gpt4all,0.26666666666666666
colorfulscoop_sbert,0.6
lucadiliello_BLEURT,0.3333333333333333
swap-uniba_LLaMAntino,0.3076923076923077
facebook_roberta,0.26666666666666666
neuralmagic_bge,0.26666666666666666
bmd1905_vietnamese-correction,0.36363636363636365
databricks_dbrx,0.3
LumiOpen_Poro,0.4
aubmindlab_bert,0.46153846153846156
lmms-lab_LLaVA,0.5
tomaarsen_span-marker,0.38461538461538464
wxjiao_alpaca,0.42857142857142855
Qwen_Qwen-Audio,0.5
tugstugi_mongolian-bert,0.38461538461538464
HooshvareLab_bert,0.42857142857142855
BM-K_RoBERTa,0.5
Helsinki-NLP_opus,0.4666666666666667
Salesforce_ctrl,0.5454545454545454
stabilityai_japanese-stablelm,0.375
facebook_esm2,0.3076923076923077
mrm8488_distilroberta,0.5
h2oai_h2o,0.2
lmsys_vicuna,0.5
unsloth_unsloth-models,0.35714285714285715
nlpaueb_legal-bert,0.5
j-hartmann_emotion,0.16666666666666666
fxmarty_tinymodel,0.5
princeton-nlp_Sheared,0.3333333333333333
bigcode_starcoder2,0.5555555555555556
togethercomputer_GPT,0.25
kuelumbus_polyBERT,0.5
SeaLLMs_SeaLLM,0.2727272727272727
protectai_deberta,0.2857142857142857
valhalla_t5-models,0.7
EmbeddedLLM_bge,0.5
maidalun1020_bce-embedding,0.3333333333333333
indolem_indobert,0.4
bergum_xtremedistil,0.375
davebulaval_MeaningBERT,0.2857142857142857
facebook_blenderbot,0.4
mixedbread-ai_mxbai,0.3333333333333333
protectai_llm-guard,0.26666666666666666
microsoft_Multilingual,0.4666666666666667
togethercomputer_StripedHyena,0.5555555555555556
nghuyong_ernie,0.625
seyonec_ChemBERTa,0.4666666666666667
whaleloops_phrase-bert,0.375
wonrax_phobert,0.5
rinna_japanese-gpt,0.3333333333333333
google_switch,0.4166666666666667
42dot_42DOT-LLM,0.2857142857142857
castorini_msmarco,0.5
LanguageBind_LLaVA,0.2727272727272727
naver_efficient,0.3076923076923077
rinna_japanese-clip,0.36363636363636365
stabilityai_stable-code,0.3333333333333333
Dongjin-kr_ko-reranker,0.26666666666666666
xlnet_xlnet,0.7142857142857143
stabilityai_stablelm,0.3333333333333333
michaelfeil_bge,0.2857142857142857
finiteautomata_sentiment,0.5333333333333333
m3rg-iitd_matscibert,0.2727272727272727
allenai_unifiedqa,0.45454545454545453
valhalla_mnli-model,0.3333333333333333
h2oai_h2ogpt,0.5333333333333333
hkunlp_instructor,0.6153846153846154
Hello-SimpleAI_chatgpt,0.3
TIGER-Lab_MAmmoTH2,0.2857142857142857
ProsusAI_finbert,0.4
Qwen_Qwen-VL,0.6363636363636364
AnnaWegmann_Style-Embedding,0.2
PlanTL-GOB-ES_roberta,0.2857142857142857
microsoft_phi-2,0.2727272727272727
Elron_bleurt,0.5
mistralai_finetune,0.5
Open-Orca_OpenOrca,0.5333333333333333
facebook_fasttext,0.16666666666666666
mlabonne_NeuralMonarch,0.35714285714285715
Hate-speech-CNERG_Xplain,0.38461538461538464
naver-clova-ocr_bros,0.5
facebook_encodec,0.5714285714285714
csebuetnlp_banglat5,0.5
EleutherAI_polyglot,0.5
lmsys_fastchat,0.3333333333333333
baichuan-inc_Baichuan,0.2727272727272727
NousResearch_Yarn-Mistral,0.5
bhadresh-savani,0.3333333333333333
MLP-KTLim_Bllossom,0.4
GroNLP_bert,0.42857142857142855
stanfordnlp_stanza,0.2
Qwen_Qwen,0.5384615384615384
TencentGameMate_chinese-hubert,0.3333333333333333
facebook_contriever,0.2857142857142857
MoritzLaurer_DeBERTa,0.8
mtgv_MobileVLM,0.25
tner_roberta,0.21428571428571427
neuralmagic_TinyLlama,0.3333333333333333
meta-llama_Llama,0.5454545454545454
google_t5transformer,0.4666666666666667
mlabonne_NeuralDaredevil,0.4
unitary_detoxify,0.4
openbmb_MiniCPM,0.38461538461538464
tsmatz_xlm-roberta,0.3333333333333333
alisawuffles_roberta,0.375
flair_ner,0.4
dccuchile_bert,0.2857142857142857
google_pegasus,0.25
facebook_bart,0.25
EleutherAI_pythia,0.6
teknium_OpenHermes,0.5714285714285714
jackhhao_jailbreak,0.42857142857142855
TinyLlama_TinyLlama,0.5833333333333334
allenai_specter2,0.4444444444444444
ise-uiuc_Magicoder,0.4
YituTech_conv-bert,0.4
microsoft_wavlm,0.4166666666666667
togethercomputer_Llama,0.3333333333333333
albert_albert,0.5
openai-community_gpt2,0.6363636363636364
cais_HarmBench,0.14285714285714285
google_byt5,0.5555555555555556
IDEA-CCNL_Erlangshen,0.3333333333333333
asapp_sew,0.3333333333333333
HuggingFaceH4_alignment,0.6428571428571429
CohereForAI_aya,0.3333333333333333
mistralai_codestral,0.3076923076923077
EmergentMethods_gliner,0.21428571428571427
intfloat_multilingual,0.5
sileod_deberta,0.3076923076923077
princeton-nlp_sup-simcse,0.6
augmxnt_shisa,0.3076923076923077
Helsinki-NLP_challenge,0.21428571428571427
microsoft_Orca,0.18181818181818182
tohoku-nlp_japanese_bert,0.42857142857142855
defog_sqlcoder,0.26666666666666666
orgcatorg_xlm-v,0.2222222222222222
nbroad_ESG-BERT,0.6666666666666666
mistralai_Mistral-inference,0.38461538461538464
laion_clap,0.26666666666666666
facebook_hubert,0.5714285714285714
ckiplab_chinese-model,0.45454545454545453
Intel_distilbert,0.4
vectara_hallucination,0.4444444444444444
lmstudio-community_aya,0.25
